date,Open,High,Low,Close,Adj Close,Volume
2012-10-25,16.63,16.63,16.63,16.63,16.63,16.63
2012-10-26,16.8,16.8,16.8,16.8,16.8,16.8
2012-11-01,16.94,16.94,16.94,16.94,16.94,16.94
2012-11-02,17.11,17.11,17.11,17.11,17.11,17.11
2012-11-05,17.38,17.38,17.38,17.38,17.38,17.38
2012-11-06,17.51,17.51,17.51,17.51,17.51,17.51
2012-11-07,17.41,17.41,17.41,17.41,17.41,17.41
2012-11-08,17.31,17.31,17.31,17.31,17.31,17.31
2012-11-09,17.3,17.3,17.3,17.3,17.3,17.3
2012-11-12,17.49,17.49,17.49,17.49,17.49,17.49
2012-11-13,17.81,17.81,17.81,17.81,17.81,17.81
2012-11-14,17.82,17.82,17.82,17.82,17.82,17.82
2012-11-15,17.88,17.88,17.88,17.88,17.88,17.88
2012-11-16,17.88,17.88,17.88,17.88,17.88,17.88
2012-11-19,18.31,18.31,18.31,18.31,18.31,18.31
2012-11-20,18.27,18.27,18.27,18.27,18.27,18.27
2012-11-21,18.43,18.43,18.43,18.43,18.43,18.43
2012-11-23,18.54,18.54,18.54,18.54,18.54,18.54
2012-11-26,18.79,18.79,18.79,18.79,18.79,18.79
2012-11-27,18.93,18.93,18.93,18.93,18.93,18.93
2012-11-28,18.94,18.94,18.94,18.94,18.94,18.94
2012-11-29,18.88,18.88,18.88,18.88,18.88,18.88
2012-11-30,18.8,18.8,18.8,18.8,18.8,18.8
2012-12-03,18.63,18.63,18.63,18.63,18.63,18.63
2012-12-04,18.88,18.88,18.88,18.88,18.88,18.88
2012-12-05,18.91,18.91,18.91,18.91,18.91,18.91
2012-12-06,19.21,19.21,19.21,19.21,19.21,19.21
2012-12-07,19.18,19.18,19.18,19.18,19.18,19.18
2012-12-10,19.43,19.43,19.43,19.43,19.43,19.43
2012-12-11,19.54,19.54,19.54,19.54,19.54,19.54
2012-12-12,19.38,19.38,19.38,19.38,19.38,19.38
2012-12-13,19.34,19.34,19.34,19.34,19.34,19.34
2012-12-14,19.63,19.63,19.63,19.63,19.63,19.63
2012-12-17,19.66,19.66,19.66,19.66,19.66,19.66
2012-12-18,19.64,19.64,19.64,19.64,19.64,19.64
2012-12-19,19.62,19.62,19.62,19.62,19.62,19.62
2012-12-20,19.7,19.7,19.7,19.7,19.7,19.7
2012-12-21,19.31,19.31,19.31,19.31,19.31,19.31
2012-12-24,19.7,19.7,19.7,19.7,19.7,19.7
2012-12-26,19.57,19.57,19.57,19.57,19.57,19.57
2012-12-27,19.64,19.64,19.64,19.64,19.64,19.64
2012-12-28,19.55,19.55,19.55,19.55,19.55,19.55
2012-12-31,19.89,19.89,19.89,19.89,19.89,19.89
2013-01-03,19.8,19.8,19.8,19.8,19.8,19.8
2013-01-04,19.91,19.91,19.91,19.91,19.91,19.91
2013-01-07,19.38,19.38,19.38,19.38,19.38,19.38
2013-01-08,19.64,19.64,19.64,19.64,19.64,19.64
2013-01-09,19.34,19.34,19.34,19.34,19.34,19.34
2013-01-10,18.98,18.98,18.98,18.98,18.98,18.98
2013-01-11,19.27,19.27,19.27,19.27,19.27,19.27
