Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus,MomentumStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
45,spx-1950-2018,23,2009-02-04 23:59:59.999989,837.77,851.85,829.18,832.23,6420450000.0,0.0,MeanReversionStrategy,23,733442.9999999999,SimpleMovingAverage,23,837.6640000000001,StdDev,23,14.558042817166493,Broker,23,100000.0,100000.0,BuySell,23,,,Trades,23,,,MomentumStrategy,22,733441.9999999999,MACD,22,,,CrossOver,22,,CrossDown,22,,ATR,22,26.19063932137604,SMA,22,,Broker,22,100000.0,100000.0,BuySell,22,,,Trades,22,,
46,spx-1950-2018,23,2009-02-04 23:59:59.999989,837.77,851.85,829.18,832.23,6420450000.0,0.0,MeanReversionStrategy,23,733442.9999999999,SimpleMovingAverage,23,837.6640000000001,StdDev,23,14.558042817166493,Broker,23,100000.0,100000.0,BuySell,23,,,Trades,23,,,MomentumStrategy,23,733442.9999999999,MACD,23,,,CrossOver,23,,CrossDown,23,,ATR,23,25.9391650841349,SMA,23,,Broker,23,100000.0,100000.0,BuySell,23,,,Trades,23,,
47,spx-1950-2018,24,2009-02-05 23:59:59.999989,831.75,850.55,819.91,845.85,6624030000.0,0.0,MeanReversionStrategy,24,733443.9999999999,SimpleMovingAverage,24,837.8793333333334,StdDev,24,14.653332484069276,Broker,24,100000.0,100000.0,BuySell,24,,,Trades,24,,,MomentumStrategy,23,733442.9999999999,MACD,23,,,CrossOver,23,,CrossDown,23,,ATR,23,25.9391650841349,SMA,23,,Broker,23,100000.0,100000.0,BuySell,23,,,Trades,23,,
48,spx-1950-2018,24,2009-02-05 23:59:59.999989,831.75,850.55,819.91,845.85,6624030000.0,0.0,MeanReversionStrategy,24,733443.9999999999,SimpleMovingAverage,24,837.8793333333334,StdDev,24,14.653332484069276,Broker,24,100000.0,100000.0,BuySell,24,,,Trades,24,,,MomentumStrategy,24,733443.9999999999,MACD,24,,,CrossOver,24,,CrossDown,24,,ATR,24,26.274939006696695,SMA,24,,Broker,24,100000.0,100000.0,BuySell,24,,,Trades,24,,
49,spx-1950-2018,25,2009-02-06 23:59:59.999989,846.09,870.75,845.42,868.6,6484100000.0,0.0,MeanReversionStrategy,25,733444.9999999999,SimpleMovingAverage,25,839.5366666666667,StdDev,25,16.510628765196728,Broker,25,100000.0,100000.0,BuySell,25,,,Trades,25,,,MomentumStrategy,24,733443.9999999999,MACD,24,,,CrossOver,24,,CrossDown,24,,ATR,24,26.274939006696695,SMA,24,,Broker,24,100000.0,100000.0,BuySell,24,,,Trades,24,,
50,spx-1950-2018,25,2009-02-06 23:59:59.999989,846.09,870.75,845.42,868.6,6484100000.0,0.0,MeanReversionStrategy,25,733444.9999999999,SimpleMovingAverage,25,839.5366666666667,StdDev,25,16.510628765196728,Broker,25,100000.0,100000.0,BuySell,25,,,Trades,25,,,MomentumStrategy,25,733444.9999999999,MACD,25,,,CrossOver,25,,CrossDown,25,,ATR,25,26.20744336336122,SMA,25,,Broker,25,100000.0,100000.0,BuySell,25,,,Trades,25,,
51,spx-1950-2018,26,2009-02-09 23:59:59.999989,868.24,875.01,861.65,869.89,5574370000.0,0.0,MeanReversionStrategy,26,733447.9999999999,SimpleMovingAverage,26,840.8546666666666,StdDev,26,18.022715247405568,Broker,26,109995.85539949343,99981.00391434492,BuySell,26,,868.24,Trades,26,,,MomentumStrategy,25,733444.9999999999,MACD,25,,,CrossOver,25,,CrossDown,25,,ATR,25,26.20744336336122,SMA,25,,Broker,25,100000.0,100000.0,BuySell,25,,,Trades,25,,
52,spx-1950-2018,26,2009-02-09 23:59:59.999989,868.24,875.01,861.65,869.89,5574370000.0,0.0,MeanReversionStrategy,26,733447.9999999999,SimpleMovingAverage,26,840.8546666666666,StdDev,26,18.022715247405568,Broker,26,109995.85539949343,99981.00391434492,BuySell,26,,868.24,Trades,26,,,MomentumStrategy,26,733447.9999999999,MACD,26,-9.554562154341852,,CrossOver,26,,CrossDown,26,,ATR,26,25.28976883740685,SMA,26,,Broker,26,109995.85539949343,99981.00391434492,BuySell,26,,,Trades,26,,
53,spx-1950-2018,27,2009-02-10 23:59:59.999989,866.87,868.05,822.99,827.16,6770170000.0,0.0,MeanReversionStrategy,27,733448.9999999999,SimpleMovingAverage,27,842.3173333333333,StdDev,27,15.828028922000334,Broker,27,109995.85539949343,100472.94496891549,BuySell,27,,,Trades,27,,,MomentumStrategy,26,733447.9999999999,MACD,26,-9.554562154341852,,CrossOver,26,,CrossDown,26,,ATR,26,25.28976883740685,SMA,26,,Broker,26,109995.85539949343,99981.00391434492,BuySell,26,,,Trades,26,,
54,spx-1950-2018,27,2009-02-10 23:59:59.999989,866.87,868.05,822.99,827.16,6770170000.0,0.0,MeanReversionStrategy,27,733448.9999999999,SimpleMovingAverage,27,842.3173333333333,StdDev,27,15.828028922000334,Broker,27,109995.85539949343,100472.94496891549,BuySell,27,,,Trades,27,,,MomentumStrategy,27,733448.9999999999,MACD,27,-10.802617680892808,,CrossOver,27,,CrossDown,27,,ATR,27,26.833356777592073,SMA,27,,Broker,27,109995.85539949343,100472.94496891549,BuySell,27,,,Trades,27,,
55,spx-1950-2018,28,2009-02-11 23:59:59.999989,827.41,838.22,822.3,833.74,5926460000.0,0.0,MeanReversionStrategy,28,733449.9999999999,SimpleMovingAverage,28,841.884,StdDev,28,15.967333653432414,Broker,28,100470.06677411927,100470.06677411927,BuySell,28,827.41,,Trades,28,470.06677411927285,,MomentumStrategy,27,733448.9999999999,MACD,27,-10.802617680892808,,CrossOver,27,,CrossDown,27,,ATR,27,26.833356777592073,SMA,27,,Broker,27,109995.85539949343,100472.94496891549,BuySell,27,,,Trades,27,,
