Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,TheStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
640,spx-2013-2018,640,2015-08-25 23:59:59.999989,1898.08,1948.04,1867.08,1867.61,5183560000.0,0.0,TheStrategy,640,735835.9999999999,MACD,640,-39.13212023913047,-15.40678161235044,CrossOver,640,0.0,CrossDown,640,0.0,ATR,640,34.02328712915128,SMA,640,2077.722333333333,Broker,640,12072.790000000008,10205.180000000008,BuySell,640,,,Trades,640,,
641,spx-2013-2018,641,2015-08-26 23:59:59.999989,1872.75,1943.09,1872.75,1940.51,5338250000.0,0.0,TheStrategy,641,735836.9999999999,MACD,641,-41.99115547717952,-20.723656385316254,CrossOver,641,0.0,CrossDown,641,0.0,ATR,641,36.984480905640474,SMA,641,2072.1593333333335,Broker,641,12072.790000000008,10132.280000000008,BuySell,641,,,Trades,641,,
642,spx-2013-2018,642,2015-08-27 23:59:59.999989,1942.77,1989.6,1942.77,1987.66,5006390000.0,0.0,TheStrategy,642,735837.9999999999,MACD,642,-39.99135510269184,-24.57719612879137,CrossOver,642,0.0,CrossDown,642,0.0,ATR,642,37.84916084095186,SMA,642,2067.605,Broker,642,10130.020000000008,10130.020000000008,BuySell,642,1942.77,,Trades,642,133.84000000000015,
643,spx-2013-2018,643,2015-08-28 23:59:59.999989,1986.06,1993.48,1975.19,1988.87,3949080000.0,0.0,TheStrategy,643,735838.9999999999,MACD,643,-37.87229378247844,-27.236215659528785,CrossOver,643,0.0,CrossDown,643,0.0,ATR,643,36.452077923741015,SMA,643,2063.012666666667,Broker,643,10130.020000000008,10130.020000000008,BuySell,643,,,Trades,643,,
644,spx-2013-2018,644,2015-08-31 23:59:59.999989,1986.73,1986.73,1965.98,1972.18,3915100000.0,0.0,TheStrategy,644,735841.9999999999,MACD,644,-37.11186347424905,-29.21134522247284,CrossOver,644,0.0,CrossDown,644,0.0,ATR,644,35.48335807204522,SMA,644,2057.809333333333,Broker,644,10130.020000000008,10130.020000000008,BuySell,644,,,Trades,644,,
645,spx-2013-2018,645,2015-09-01 23:59:59.999989,1970.09,1970.09,1903.07,1913.85,4371850000.0,0.0,TheStrategy,645,735842.9999999999,MACD,645,-40.746262936755784,-31.51832876532943,CrossOver,645,0.0,CrossDown,645,0.0,ATR,645,37.88526106689914,SMA,645,2050.964,Broker,645,10130.020000000008,10130.020000000008,BuySell,645,,,Trades,645,,
646,spx-2013-2018,646,2015-09-02 23:59:59.999989,1916.52,1948.91,1916.52,1948.86,3742620000.0,0.0,TheStrategy,646,735843.9999999999,MACD,646,-40.33656151351465,-33.28197531496647,CrossOver,646,0.0,CrossDown,646,0.0,ATR,646,37.683456704977786,SMA,646,2045.4543333333336,Broker,646,10130.020000000008,10130.020000000008,BuySell,646,,,Trades,646,,
647,spx-2013-2018,647,2015-09-03 23:59:59.999989,1950.79,1975.01,1944.72,1951.13,3520700000.0,0.0,TheStrategy,647,735844.9999999999,MACD,647,-39.37481183418299,-34.500542618809774,CrossOver,647,0.0,CrossDown,647,0.0,ATR,647,37.15535265462223,SMA,647,2040.4203333333332,Broker,647,10130.020000000008,10130.020000000008,BuySell,647,,,Trades,647,,
648,spx-2013-2018,648,2015-09-04 23:59:59.999989,1947.76,1947.76,1911.21,1921.22,3167090000.0,0.0,TheStrategy,648,735845.9999999999,MACD,648,-40.558571352265744,-35.712148365500965,CrossOver,648,0.0,CrossDown,648,0.0,ATR,648,37.352827465006364,SMA,648,2035.1393333333333,Broker,648,10130.020000000008,10130.020000000008,BuySell,648,,,Trades,648,,
649,spx-2013-2018,649,2015-09-08 23:59:59.999989,1927.3,1970.42,1927.3,1969.41,3548650000.0,0.0,TheStrategy,649,735849.9999999999,MACD,649,-37.179595802589574,-36.00563785291869,CrossOver,649,0.0,CrossDown,649,0.0,ATR,649,38.19905407464877,SMA,649,2031.8650000000002,Broker,649,10130.020000000008,10130.020000000008,BuySell,649,,,Trades,649,,
650,spx-2013-2018,650,2015-09-09 23:59:59.999989,1971.45,1988.63,1937.88,1942.04,3652120000.0,0.0,TheStrategy,650,735850.9999999999,MACD,650,-36.29191301235801,-36.06289288480656,CrossOver,650,0.0,CrossDown,650,0.0,ATR,650,39.09555021217386,SMA,650,2026.8246666666666,Broker,650,10130.020000000008,10130.020000000008,BuySell,650,,,Trades,650,,
651,spx-2013-2018,651,2015-09-10 23:59:59.999989,1941.59,1965.29,1937.19,1952.29,3626320000.0,0.0,TheStrategy,651,735851.9999999999,MACD,651,-34.36518817086767,-35.72335194201878,CrossOver,651,1.0,CrossDown,651,0.0,ATR,651,38.31015376844715,SMA,651,2021.6153333333334,Broker,651,10130.020000000008,10130.020000000008,BuySell,651,,,Trades,651,,
652,spx-2013-2018,652,2015-09-11 23:59:59.999989,1951.45,1961.05,1939.19,1961.05,3218590000.0,0.0,TheStrategy,652,735852.9999999999,MACD,652,-31.765216421314108,-34.93172483787785,CrossOver,652,0.0,CrossDown,652,0.0,ATR,652,37.135142784986634,SMA,652,2016.696,Broker,652,8178.570000000008,10139.620000000008,BuySell,652,1951.45,,Trades,652,,
653,spx-2013-2018,653,2015-09-14 23:59:59.999989,1963.06,1963.06,1948.27,1953.03,3000200000.0,0.0,TheStrategy,653,735855.9999999999,MACD,653,-30.005976829255587,-33.9465752361534,CrossOver,653,0.0,CrossDown,653,0.0,ATR,653,35.53906115748759,SMA,653,2011.669,Broker,653,8178.570000000008,10131.600000000008,BuySell,653,,,Trades,653,,
654,spx-2013-2018,654,2015-09-15 23:59:59.999989,1955.1,1983.19,1954.3,1978.09,3239860000.0,0.0,TheStrategy,654,735856.9999999999,MACD,654,-26.286618438562982,-32.41458387663532,CrossOver,654,0.0,CrossDown,654,0.0,ATR,654,35.15484250338134,SMA,654,2007.6706666666666,Broker,654,8178.570000000008,10156.660000000007,BuySell,654,,,Trades,654,,
655,spx-2013-2018,655,2015-09-16 23:59:59.999989,1978.02,1997.26,1977.93,1995.31,3630680000.0,0.0,TheStrategy,655,735857.9999999999,MACD,655,-21.6993533924242,-30.271537779793096,CrossOver,655,0.0,CrossDown,655,0.0,ATR,655,34.02449661028267,SMA,655,2004.4036666666666,Broker,655,8178.570000000008,10173.880000000008,BuySell,655,,,Trades,655,,
656,spx-2013-2018,656,2015-09-17 23:59:59.999989,1995.33,2020.86,1986.73,1990.2,4183790000.0,0.0,TheStrategy,656,735858.9999999999,MACD,656,-18.265691565478846,-27.870368536930247,CrossOver,656,0.0,CrossDown,656,0.0,ATR,656,34.03203256669104,SMA,656,2000.749,Broker,656,8178.570000000008,10168.770000000008,BuySell,656,,,Trades,656,,
657,spx-2013-2018,657,2015-09-18 23:59:59.999989,1989.66,1989.66,1953.45,1958.03,6021240000.0,0.0,TheStrategy,657,735859.9999999999,MACD,657,-17.933612452453644,-25.883017320034927,CrossOver,657,0.0,CrossDown,657,0.0,ATR,657,34.226173097641684,SMA,657,1996.5646666666667,Broker,657,8178.570000000008,10136.600000000008,BuySell,657,,,Trades,657,,
658,spx-2013-2018,658,2015-09-21 23:59:59.999989,1960.84,1979.64,1955.8,1966.97,3269350000.0,0.0,TheStrategy,658,735862.9999999999,MACD,658,-16.755902464158225,-24.05759434885959,CrossOver,658,0.0,CrossDown,658,0.0,ATR,658,33.48430359066729,SMA,658,1992.878,Broker,658,10139.410000000007,10139.410000000007,BuySell,658,,1960.84,Trades,658,9.389999999999873,
