Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MomentumStrategy2,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
2064,spx-1950-2018,2064,2017-03-15 23:59:59.999989,2370.34,2390.01,2368.94,2385.26,3906840000.0,0.0,MomentumStrategy2,2064,736403.9999999999,MACD,2064,-16.759658475388278,-19.663920189277146,CrossOver,2064,0.0,CrossDown,2064,0.0,Broker,2064,89695.42416220893,99766.65398499994,BuySell,2064,,,Trades,2064,,
2065,spx-1950-2018,2065,2017-03-16 23:59:59.999989,2387.71,2388.1,2377.18,2381.38,3365660000.0,0.0,MomentumStrategy2,2065,736404.9999999999,MACD,2065,-16.41370698519495,-19.013877548460705,CrossOver,2065,0.0,CrossDown,2065,0.0,Broker,2065,89695.42416220893,99750.27154798577,BuySell,2065,,,Trades,2065,,
2066,spx-1950-2018,2066,2017-03-17 23:59:59.999989,2383.71,2385.71,2377.64,2378.25,5178040000.0,0.0,MomentumStrategy2,2066,736405.9999999999,MACD,2066,-15.705924968830459,-18.352287032534658,CrossOver,2066,0.0,CrossDown,2066,0.0,Broker,2066,89695.42416220893,99737.05581915732,BuySell,2066,,,Trades,2066,,
2067,spx-1950-2018,2067,2017-03-20 23:59:59.999989,2378.24,2379.55,2369.66,2373.47,3054930000.0,0.0,MomentumStrategy2,2067,736408.9999999999,MACD,2067,-14.591099457789369,-17.600049517585603,CrossOver,2067,0.0,CrossDown,2067,0.0,Broker,2067,89695.42416220893,99716.87333232028,BuySell,2067,,,Trades,2067,,
2068,spx-1950-2018,2068,2017-03-21 23:59:59.999989,2379.32,2381.93,2341.9,2344.02,4265590000.0,0.0,MomentumStrategy2,2068,736409.9999999999,MACD,2068,-11.202092582097976,-16.320458130488078,CrossOver,2068,0.0,CrossDown,2068,0.0,Broker,2068,89695.42416220893,99592.52725756062,BuySell,2068,,,Trades,2068,,
2069,spx-1950-2018,2069,2017-03-22 23:59:59.999989,2343.0,2351.81,2336.45,2348.45,3572730000.0,0.0,MomentumStrategy2,2069,736410.9999999999,MACD,2069,-8.772618903626608,-14.810890285115784,CrossOver,2069,0.0,CrossDown,2069,0.0,Broker,2069,89695.42416220893,99611.23194724433,BuySell,2069,,,Trades,2069,,
2070,spx-1950-2018,2070,2017-03-23 23:59:59.999989,2345.97,2358.92,2342.13,2345.96,3260600000.0,0.0,MomentumStrategy2,2070,736411.9999999999,MACD,2070,-6.570579766321316,-13.162828181356891,CrossOver,2070,0.0,CrossDown,2070,0.0,Broker,2070,89695.42416220893,99600.71847606772,BuySell,2070,,,Trades,2070,,
2071,spx-1950-2018,2071,2017-03-24 23:59:59.999989,2350.42,2356.22,2335.74,2343.98,2975130000.0,0.0,MomentumStrategy2,2071,736412.9999999999,MACD,2071,-4.612508308132874,-11.452764206712088,CrossOver,2071,0.0,CrossDown,2071,0.0,Broker,2071,89695.42416220893,99592.3583664574,BuySell,2071,,,Trades,2071,,
2072,spx-1950-2018,2072,2017-03-27 23:59:59.999989,2329.11,2344.9,2322.25,2341.59,3240230000.0,0.0,MomentumStrategy2,2072,736415.9999999999,MACD,2072,-2.835187270427923,-9.729248819455254,CrossOver,2072,0.0,CrossDown,2072,0.0,Broker,2072,89695.42416220893,99582.26712303887,BuySell,2072,,,Trades,2072,,
2073,spx-1950-2018,2073,2017-03-28 23:59:59.999989,2339.79,2363.78,2337.63,2358.57,3367780000.0,0.0,MomentumStrategy2,2073,736416.9999999999,MACD,2073,-2.7649193660104174,-8.336382928766287,CrossOver,2073,0.0,CrossDown,2073,0.0,Broker,2073,89695.42416220893,99653.96139636378,BuySell,2073,,,Trades,2073,,
