Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
33,spx-1950-2018,33,2016-02-19 23:59:59.999989,1916.74,1918.78,1902.17,1917.78,4142850000.0,0.0,RegimeSwitchingStrategy,33,736013.9999999999,MACD,33,-8.14286259019218,,CrossOver,33,,CrossDown,33,,ATR,33,35.90837581504377,SMA,33,1896.4516666666668,SimpleMovingAverage,33,1893.3373333333334,StdDev,33,34.36977363258372,Broker,33,100000.0,100000.0,BuySell,33,,,Trades,33,,
34,spx-1950-2018,34,2016-02-22 23:59:59.999989,1924.44,1946.7,1924.44,1945.5,4054710000.0,0.0,RegimeSwitchingStrategy,34,736016.9999999999,MACD,34,-3.514787332096148,-16.195193285985145,CrossOver,34,,CrossDown,34,,ATR,34,35.40920611396922,SMA,34,1896.532,SimpleMovingAverage,34,1893.6879999999999,StdDev,34,34.86971870644395,Broker,34,100000.0,100000.0,BuySell,34,,,Trades,34,,
35,spx-1950-2018,35,2016-02-23 23:59:59.999989,1942.38,1942.38,1919.44,1921.27,3890650000.0,0.0,RegimeSwitchingStrategy,35,736017.9999999999,MACD,35,-1.7816253796606816,-13.312479704720253,CrossOver,35,0.0,CrossDown,35,0.0,ATR,35,34.74140567725713,SMA,35,1896.5066666666667,SimpleMovingAverage,35,1892.4806666666666,StdDev,35,33.555528400284906,Broker,35,100000.0,100000.0,BuySell,35,,,Trades,35,,
36,spx-1950-2018,36,2016-02-24 23:59:59.999989,1917.56,1932.08,1891.0,1929.8,4317250000.0,0.0,RegimeSwitchingStrategy,36,736018.9999999999,MACD,36,0.27702430249973986,-10.594578903276256,CrossOver,36,0.0,CrossDown,36,0.0,ATR,36,35.1941624145959,SMA,36,1896.711,SimpleMovingAverage,36,1894.2653333333333,StdDev,36,34.759431308485354,Broker,36,100000.0,100000.0,BuySell,36,,,Trades,36,,
37,spx-1950-2018,37,2016-02-25 23:59:59.999989,1931.87,1951.83,1925.41,1951.7,4118210000.0,0.0,RegimeSwitchingStrategy,37,736019.9999999999,MACD,37,3.6337780500330155,-7.7489075126144025,CrossOver,37,0.0,CrossDown,37,0.0,ATR,37,34.56743652783904,SMA,37,1897.145,SimpleMovingAverage,37,1896.8766666666668,StdDev,37,37.404213606966465,Broker,37,109929.94088923156,99898.07247494216,BuySell,37,,1931.87,Trades,37,,
38,spx-1950-2018,38,2016-02-26 23:59:59.999989,1954.95,1962.96,1945.78,1948.05,4348510000.0,0.0,RegimeSwitchingStrategy,38,736020.9999999999,MACD,38,5.931134655080086,-5.012899079075504,CrossOver,38,0.0,CrossDown,38,0.0,ATR,38,33.32547677585054,SMA,38,1899.0706666666667,SimpleMovingAverage,38,1899.05,StdDev,38,39.31837450013981,Broker,38,109929.94088923156,99916.83371883834,BuySell,38,,,Trades,38,,
39,spx-1950-2018,39,2016-02-29 23:59:59.999989,1947.13,1958.27,1931.81,1932.23,4588180000.0,0.0,RegimeSwitchingStrategy,39,736023.9999999999,MACD,39,6.401472341027784,-2.730024795054847,CrossOver,39,0.0,CrossDown,39,0.0,ATR,39,32.835085577575505,SMA,39,1899.4170000000001,SimpleMovingAverage,39,1902.5286666666666,StdDev,39,39.78895506153478,Broker,39,109929.94088923156,99998.14957594448,BuySell,39,,,Trades,39,,
40,spx-1950-2018,40,2016-03-01 23:59:59.999989,1937.09,1978.35,1937.09,1978.35,4819750000.0,0.0,RegimeSwitchingStrategy,40,736024.9999999999,MACD,40,10.376107595362555,-0.10879831697136666,CrossOver,40,0.0,CrossDown,40,0.0,ATR,40,33.7840080363201,SMA,40,1902.6843333333334,SimpleMovingAverage,40,1910.856,StdDev,40,41.67047264750601,Broker,40,109929.94088923156,99761.08969416602,BuySell,40,,,Trades,40,,
41,spx-1950-2018,41,2016-03-02 23:59:59.999989,1976.6,1986.51,1968.8,1986.45,4666610000.0,0.0,RegimeSwitchingStrategy,41,736025.9999999999,MACD,41,14.01804567103386,2.7165704806296787,CrossOver,41,0.0,CrossDown,41,0.0,ATR,41,32.63586460515438,SMA,41,1906.1883333333333,SimpleMovingAverage,41,1919.8053333333332,StdDev,41,42.520712892531215,Broker,41,109929.94088923156,99719.45515291698,BuySell,41,,,Trades,41,,
42,spx-1950-2018,42,2016-03-03 23:59:59.999989,1985.6,1993.69,1977.37,1993.4,5081700000.0,0.0,RegimeSwitchingStrategy,42,736026.9999999999,MACD,42,17.266082104439647,5.626472805391673,CrossOver,42,0.0,CrossDown,42,0.0,ATR,42,31.470445704786226,SMA,42,1910.6573333333333,SimpleMovingAverage,42,1929.2413333333332,StdDev,42,42.09845648266853,Broker,42,109929.94088923156,99683.73168851194,BuySell,42,,,Trades,42,,
