Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
95,spx-2013-2018,95,2013-06-26 23:59:59.999989,1592.27,1606.83,1592.27,1603.26,3558340000.0,0.0,MeanReversionStrategy,95,735045.9999999999,SimpleMovingAverage,95,,Broker,95,100000.0,100000.0,BuySell,95,,,Trades,95,,
96,spx-2013-2018,96,2013-06-27 23:59:59.999989,1606.44,1620.07,1606.44,1613.2,3364540000.0,0.0,MeanReversionStrategy,96,735046.9999999999,SimpleMovingAverage,96,,Broker,96,100000.0,100000.0,BuySell,96,,,Trades,96,,
97,spx-2013-2018,97,2013-06-28 23:59:59.999989,1611.12,1615.94,1601.06,1606.28,4977190000.0,0.0,MeanReversionStrategy,97,735047.9999999999,SimpleMovingAverage,97,,Broker,97,100000.0,100000.0,BuySell,97,,,Trades,97,,
98,spx-2013-2018,98,2013-07-01 23:59:59.999989,1609.78,1626.61,1609.78,1614.96,3104690000.0,0.0,MeanReversionStrategy,98,735050.9999999999,SimpleMovingAverage,98,,Broker,98,100000.0,100000.0,BuySell,98,,,Trades,98,,
99,spx-2013-2018,99,2013-07-02 23:59:59.999989,1614.29,1624.26,1606.77,1614.08,3317130000.0,0.0,MeanReversionStrategy,99,735051.9999999999,SimpleMovingAverage,99,,Broker,99,100000.0,100000.0,BuySell,99,,,Trades,99,,
100,spx-2013-2018,100,2013-07-03 23:59:59.999989,1611.48,1618.97,1604.57,1615.41,1966050000.0,0.0,MeanReversionStrategy,100,735052.9999999999,SimpleMovingAverage,100,,Broker,100,100000.0,100000.0,BuySell,100,,,Trades,100,,
101,spx-2013-2018,101,2013-07-05 23:59:59.999989,1618.65,1632.07,1614.71,1631.89,2634140000.0,0.0,MeanReversionStrategy,101,735054.9999999999,SimpleMovingAverage,101,,Broker,101,100000.0,100000.0,BuySell,101,,,Trades,101,,
102,spx-2013-2018,102,2013-07-08 23:59:59.999989,1634.2,1644.68,1634.2,1640.46,3514590000.0,0.0,MeanReversionStrategy,102,735057.9999999999,SimpleMovingAverage,102,,Broker,102,100000.0,100000.0,BuySell,102,,,Trades,102,,
103,spx-2013-2018,103,2013-07-09 23:59:59.999989,1642.89,1654.18,1642.89,1652.32,3155360000.0,0.0,MeanReversionStrategy,103,735058.9999999999,SimpleMovingAverage,103,,Broker,103,100000.0,100000.0,BuySell,103,,,Trades,103,,
104,spx-2013-2018,104,2013-07-10 23:59:59.999989,1651.56,1657.92,1647.66,1652.62,3011010000.0,0.0,MeanReversionStrategy,104,735059.9999999999,SimpleMovingAverage,104,,Broker,104,100000.0,100000.0,BuySell,104,,,Trades,104,,
105,spx-2013-2018,105,2013-07-11 23:59:59.999989,1657.41,1676.63,1657.41,1675.02,3446340000.0,0.0,MeanReversionStrategy,105,735060.9999999999,SimpleMovingAverage,105,,Broker,105,100000.0,100000.0,BuySell,105,,,Trades,105,,
106,spx-2013-2018,106,2013-07-12 23:59:59.999989,1675.26,1680.19,1672.33,1680.19,3039070000.0,0.0,MeanReversionStrategy,106,735061.9999999999,SimpleMovingAverage,106,,Broker,106,100000.0,100000.0,BuySell,106,,,Trades,106,,
107,spx-2013-2018,107,2013-07-15 23:59:59.999989,1679.59,1684.51,1677.89,1682.5,2623200000.0,0.0,MeanReversionStrategy,107,735064.9999999999,SimpleMovingAverage,107,,Broker,107,100000.0,100000.0,BuySell,107,,,Trades,107,,
108,spx-2013-2018,108,2013-07-16 23:59:59.999989,1682.7,1683.73,1671.84,1676.26,3081710000.0,0.0,MeanReversionStrategy,108,735065.9999999999,SimpleMovingAverage,108,,Broker,108,100000.0,100000.0,BuySell,108,,,Trades,108,,
109,spx-2013-2018,109,2013-07-17 23:59:59.999989,1677.91,1684.75,1677.91,1680.91,3153440000.0,0.0,MeanReversionStrategy,109,735066.9999999999,SimpleMovingAverage,109,,Broker,109,100000.0,100000.0,BuySell,109,,,Trades,109,,
110,spx-2013-2018,110,2013-07-18 23:59:59.999989,1681.05,1693.12,1681.05,1689.37,3452370000.0,0.0,MeanReversionStrategy,110,735067.9999999999,SimpleMovingAverage,110,,Broker,110,100000.0,100000.0,BuySell,110,,,Trades,110,,
111,spx-2013-2018,111,2013-07-19 23:59:59.999989,1686.15,1692.09,1684.08,1692.09,3302580000.0,0.0,MeanReversionStrategy,111,735068.9999999999,SimpleMovingAverage,111,,Broker,111,100000.0,100000.0,BuySell,111,,,Trades,111,,
112,spx-2013-2018,112,2013-07-22 23:59:59.999989,1694.41,1697.61,1690.67,1695.53,2779130000.0,0.0,MeanReversionStrategy,112,735071.9999999999,SimpleMovingAverage,112,,Broker,112,100000.0,100000.0,BuySell,112,,,Trades,112,,
113,spx-2013-2018,113,2013-07-23 23:59:59.999989,1696.63,1698.78,1691.13,1692.39,3096180000.0,0.0,MeanReversionStrategy,113,735072.9999999999,SimpleMovingAverage,113,,Broker,113,100000.0,100000.0,BuySell,113,,,Trades,113,,
114,spx-2013-2018,114,2013-07-24 23:59:59.999989,1696.06,1698.38,1682.57,1685.94,3336120000.0,0.0,MeanReversionStrategy,114,735073.9999999999,SimpleMovingAverage,114,,Broker,114,100000.0,100000.0,BuySell,114,,,Trades,114,,
115,spx-2013-2018,115,2013-07-25 23:59:59.999989,1685.21,1690.94,1680.07,1690.25,3322500000.0,0.0,MeanReversionStrategy,115,735074.9999999999,SimpleMovingAverage,115,,Broker,115,100000.0,100000.0,BuySell,115,,,Trades,115,,
116,spx-2013-2018,116,2013-07-26 23:59:59.999989,1687.31,1691.85,1676.03,1691.65,2762770000.0,0.0,MeanReversionStrategy,116,735075.9999999999,SimpleMovingAverage,116,,Broker,116,100000.0,100000.0,BuySell,116,,,Trades,116,,
117,spx-2013-2018,117,2013-07-29 23:59:59.999989,1690.32,1690.92,1681.86,1685.33,2840520000.0,0.0,MeanReversionStrategy,117,735078.9999999999,SimpleMovingAverage,117,,Broker,117,100000.0,100000.0,BuySell,117,,,Trades,117,,
118,spx-2013-2018,118,2013-07-30 23:59:59.999989,1687.92,1693.19,1682.42,1685.96,3320530000.0,0.0,MeanReversionStrategy,118,735079.9999999999,SimpleMovingAverage,118,,Broker,118,100000.0,100000.0,BuySell,118,,,Trades,118,,
119,spx-2013-2018,119,2013-07-31 23:59:59.999989,1687.76,1698.43,1684.94,1685.73,3847390000.0,0.0,MeanReversionStrategy,119,735080.9999999999,SimpleMovingAverage,119,,Broker,119,100000.0,100000.0,BuySell,119,,,Trades,119,,
120,spx-2013-2018,120,2013-08-01 23:59:59.999989,1689.42,1707.85,1689.42,1706.87,3775170000.0,0.0,MeanReversionStrategy,120,735081.9999999999,SimpleMovingAverage,120,,Broker,120,100000.0,100000.0,BuySell,120,,,Trades,120,,
121,spx-2013-2018,121,2013-08-02 23:59:59.999989,1706.1,1709.67,1700.68,1709.67,3136630000.0,0.0,MeanReversionStrategy,121,735082.9999999999,SimpleMovingAverage,121,,Broker,121,100000.0,100000.0,BuySell,121,,,Trades,121,,
122,spx-2013-2018,122,2013-08-05 23:59:59.999989,1708.01,1709.24,1703.55,1707.14,2529300000.0,0.0,MeanReversionStrategy,122,735085.9999999999,SimpleMovingAverage,122,,Broker,122,100000.0,100000.0,BuySell,122,,,Trades,122,,
123,spx-2013-2018,123,2013-08-06 23:59:59.999989,1705.79,1705.79,1693.29,1697.37,3141210000.0,0.0,MeanReversionStrategy,123,735086.9999999999,SimpleMovingAverage,123,,Broker,123,100000.0,100000.0,BuySell,123,,,Trades,123,,
