Date,XLY,XLF,XLK,XLE,XLV,XLI,XLP,XLB,XLU,mr_wealth,mo_wealth,mr_wealth_cross,mo_wealth_cross
2012-02-10,38.74057,8.182569,25.214739,63.18753100000001,32.486069,32.665157,27.832363,32.682709,28.016785,672559.5215376065,1353982.6708697912,1793367.497911856,672072.537020749
2012-02-13,39.051888,8.255575,25.376654000000002,63.68928100000001,32.73101,33.062752,27.951851,32.770924,27.984589,672559.5215376065,1332306.9895736051,1759800.1613200256,672072.537020749
2012-02-14,39.0061,8.176953,25.42164,63.801754,32.867088,32.947895,28.020132,32.347491999999995,27.992635999999997,672559.5215376065,1327906.2865395588,1739916.9953454721,672072.537020749
2012-02-15,38.83213,8.126408,25.286701,63.697914000000004,32.803581,32.514946,28.011590999999996,32.373962,27.936277,672559.5215376065,1359425.7676405204,1772286.3020407534,672072.537020749
2012-02-16,38.996956,8.255575,25.655523000000002,64.528435,32.985008,32.815360999999996,28.19083,32.947346,28.234163,672559.5215376065,1370308.4180100246,1785925.607126845,672072.537020749
2012-02-17,39.335735,8.306121000000001,25.655523000000002,64.77065999999999,32.876152000000005,32.939053,28.216435999999998,32.964996,28.218059999999998,672559.5215376065,1388972.4689473656,1801106.8564077448,672072.537020749
2012-02-21,39.198391,8.300507000000001,25.763475,65.211861,32.640289,33.053921,28.054270000000002,33.159054,28.113396,672559.5215376065,1378669.094904331,1784660.8705047136,672072.537020749
2012-02-22,39.09766,8.193800999999999,25.673515,65.358948,32.640289,33.018578000000005,27.977457,33.106117,28.145599,672559.5215376065,1390037.1285916665,1805071.0899108667,672072.537020749
2012-02-23,39.289955,8.266809,25.772469,65.687691,32.667503,33.124607,28.122559000000003,33.141418,28.121449,672559.5215376065,1384461.8603345982,1807712.270609406,672072.537020749
2012-02-24,39.244164000000005,8.23873,25.925394,65.947212,32.830791,33.115765,28.216435999999998,33.123768,28.242209999999996,672559.5215376065,1387742.0926073417,1813696.4247889854,672072.537020749
2012-02-27,39.473076,8.300507000000001,25.970367,65.73960100000001,32.894290999999996,33.142269,28.216435999999998,33.132587,28.234163,672559.5215376065,1388888.59182727,1820341.9643018227,672072.537020749
2012-02-28,39.692833,8.322968,26.159279,65.523331,33.021305,33.098099,28.310315999999997,33.238445,28.097296000000004,672559.5215376065,1359438.4237432268,1811483.597718522,672072.537020749
2012-02-29,39.546337,8.289273,26.042334,64.77930500000001,32.821728,32.894878000000006,28.361528000000003,32.612137,28.089243,672559.5215376065,1385297.660471573,1831703.974636652,672072.537020749
2012-03-01,39.875957,8.379132,26.195259,65.402191,32.994091,33.009739,28.318851000000002,32.973804,28.161699,672559.5215376065,1369895.1154287038,1815140.6767577077,672072.537020749
2012-03-02,39.848492,8.35105,26.159279,64.658211,32.939663,32.815360999999996,28.344456,32.894417,28.145599,672559.5215376065,1343642.9754620218,1805536.9662243733,672072.537020749
2012-03-05,39.811863,8.317355000000001,25.934385,64.242935,32.867088,32.585640000000005,28.472478999999996,32.365134999999995,28.210007,672559.5215376065,1299941.6023475504,1777810.9387173143,672072.537020749
2012-03-06,39.189223999999996,8.115175,25.68251,63.196171,32.440715999999995,31.852282000000002,28.233509,31.703545000000002,28.097296000000004,672559.5215376065,1316053.7706672503,1805578.2291971017,672072.537020749
2012-03-07,39.637882,8.216266000000001,25.87142,63.723895999999996,32.585861,32.179199,28.276184000000004,31.782938,28.113396,672559.5215376065,1337255.8188153675,1821290.3246761998,672072.537020749
2012-03-08,40.040779,8.294888,26.132292,64.242935,32.948734,32.638653000000005,28.472478999999996,32.312214000000004,28.201952000000002,672559.5215376065,1338711.3123029915,1827433.1521071573,672072.537020749
2012-03-09,40.269676000000004,8.362283,26.249235,64.182388,33.084812,32.709339,28.566366,32.321026,28.314667,672559.5215376065,1319481.0444991905,1815445.8582226438,672072.537020749
